,DIVIDED_HWY,LANES,MEDIAN_WIDTH,NLFID,ROUTE_NBR,ROUTE_TYPE,SHLD_LT_TOTAL_WIDTH,SHLD_RT_TOTAL_WIDTH,SPEED_LIMIT_NBR,STREET_NAME_TXT,STREET_DIR_SUFFIX,SURFACE_LT_WIDTH,SURFACE_RT_WIDTH
267624,N,2.0,,CFRACR00002**C,00002,CR,,,,HAYES,,10.0,10.0
267625,N,2.0,,CFRACR00002**C,00002,CR,,,,HAYES,,10.0,10.0
267626,N,2.0,,CFRACR00002**C,00002,CR,,,,HAYES,,10.0,10.0
267627,N,2.0,,CFRACR00002**C,00002,CR,,,,HAYES,,10.0,10.0
267628,N,2.0,,CFRACR00002**C,00002,CR,,,,HAYES,,10.0,10.0
267629,N,2.0,,CFRACR00002**C,00002,CR,,,,HAYES,,10.0,10.0
267630,N,2.0,,CFRACR00002**C,00002,CR,,,,HAYES,,10.0,10.0
267631,N,2.0,,CFRACR00002**C,00002,CR,,,,HAYES,,10.0,10.0
267632,N,2.0,,CFRACR00002**C,00002,CR,,,,HAYES,,9.0,9.0
267633,N,2.0,,CFRACR00002**C,00002,CR,,,,HAYES,,9.0,9.0
267634,N,2.0,,CFRACR00003**C,00003,CR,,,,HIGH,,13.0,13.0
267635,N,2.0,,CFRACR00003**C,00003,CR,,,,HIGH,,13.0,13.0
267636,N,2.0,,CFRACR00003**C,00003,CR,,,,HIGH,,13.0,13.0
267637,N,2.0,,CFRACR00003**C,00003,CR,,,,HIGH,,13.0,13.0
267638,N,2.0,,CFRACR00003**C,00003,CR,,,,HARRISBURG-GEORGESVILL,,13.0,13.0
267639,N,2.0,,CFRACR00003**C,00003,CR,,,,HARRISBURG-GEORGESVILL,,10.0,10.0
267640,N,2.0,,CFRACR00003**C,00003,CR,,,,HARRISBURG-GEORGESVILL,,9.0,9.0
267641,N,2.0,,CFRACR00003**C,00003,CR,,,,HARRISBURG-GEORGESVILL,,9.0,10.0
267642,N,2.0,,CFRACR00003**C,00003,CR,,,,HARRISBURG-GEORGESVILL,,9.0,9.0
267643,N,2.0,,CFRACR00003**C,00003,CR,,,,HARRISBURG-GEORGESVILL,,10.0,10.0
267644,N,2.0,,CFRACR00003**C,00003,CR,,,,HARRISBURG-GEORGESVILL,,9.0,10.0
